Identifies the type of dwelling involved in the sale,Identifies the general zoning classification of the sale,Linear feet of street connected to the property,Lot size in square feet,Type of road access to property,General shape of property,Flatness of the property,Type of utilities available,Lot configuration,Slope of property,Physical locations within Ames city limits,Proximity to various conditions,Proximity to various conditions if more than one is present,Type of dwelling,Style of dwelling,Rates the overall material and finish of the house,Rates the overall condition of the house,Original construction date,Remodel date same as construction date if no remodeling or additions,Type of roof,Roof material,Exterior covering on the house,Exterior covering on house if more than one material,Masonry veneer type,Masonry veneer area in square feet,Evaluates the quality of the material on the exterior,Evaluates the present condition of the material on the exterior,Type of foundation,Evaluates the height of the basement,Evaluate the general condition of the basement,Refers to walkout or garden-level walls,Rating of basement finished area,Type 1 finished square feet,Rating of basement finished area if multiple types,Type 2 finished square feet,Unfinished square feet of basement area,Total square feet of basement area,Type of heating,Heating quality and condition,Central air conditioning,Electrical system,First Floor square feet,Second floor square feet,Low quality finished square feet all floors,Above grade ground living area square feet,Basement full bathrooms,Basement half bathrooms,Full bathrooms above grade,Half baths above grade,Bedrooms above grade does not include basement bedrooms,Kitchens above grade,Kitchen Quality,Total rooms above grade does not include bathrooms,Home functionality Assume typical unless deductions are warranted,Number of fireplaces,Fireplace quality,Garage location,The year garage was built,Interior finish of the garage,Size of garage in car capacity,Size of garage in square feet,Garage quality,Garage condition,Paved driveway,Wood deck area in square feet,Open porch area in square feet,Enclosed porch area in square feet,Pool area in square feet,Value of miscellaneous feature,Month Sold,Year Sold,Type of sale,Condition of sale,Sale price
20,Residential Low-Density,75,11310,Paved,Regular,Level,All public Utilities,Inside lot,Gentle slope,NAmes,Normal,Normal,Single-family Detached,One story,6,5,1954,1954,Hip,Standard (Composite) Shingle,Wood Siding,Brick Face,None,0,Average/Typical,Average/Typical,Cinder Block,Typical (80-89 inches),Typical-slight dampness allowed,No Exposure,Unfinished,0,Unfinished,0,1367,1367,Gas forced warm air furnace,Excellent,Yes,Standard Circuit Breakers & Romex,1375,0,0,1375,0,0,1,0,2,1,Average/Typical,5,Typical Functionality,1,Average-Prefabricated Fireplace in the main living area or Masonry Fireplace in the basement,Attached to the home,1954,Unfinished,2,451,Average/Typical,Average/Typical,Paved,0,30,0,0,0,6,2006,Warranty Deed-Conventional,Normal Sale,140000
60,Residential Low-Density,72,11317,Paved,Regular,Level,All public Utilities,Inside lot,Gentle slope,College Creek,Normal,Normal,Single-family Detached,Two-story,7,5,2003,2003,Gable,Standard (Composite) Shingle,Vinyl Siding,Vinyl Siding,Brick Face,101,Good,Average/Typical,Poured Contrete,Good (90-99 inches),Typical-slight dampness allowed,No Exposure,Unfinished,0,Unfinished,0,840,840,Gas forced warm air furnace,Excellent,Yes,Standard Circuit Breakers & Romex,840,828,0,1668,0,0,2,1,3,1,Good,8,Typical Functionality,0,No,Attached to the home,2003,Rough Finished,2,500,Average/Typical,Average/Typical,Paved,144,68,0,0,0,9,2007,Warranty Deed-Conventional,Normal Sale,180000
50,Residential Low-Density,0,159000,Paved,Moderately Irregular,Low Depression,All public Utilities,Cul-de-sac,Severe Slope,Clear Creek,Normal,Normal,Single-family Detached,One and one-half story: 2nd level finished,6,7,1958,2006,Gable,Standard (Composite) Shingle,Wood Siding,Hard Board,Brick Common,472,Good,Average/Typical,Cinder Block,Good (90-99 inches),Typical-slight dampness allowed,Good Exposure,Average Rec Room,697,Unfinished,0,747,1444,Gas forced warm air furnace,Good,Yes,Standard Circuit Breakers & Romex,1444,700,0,2144,0,1,2,0,4,1,Good,7,Typical Functionality,2,Average-Prefabricated Fireplace in the main living area or Masonry Fireplace in the basement,Attached to the home,1958,Finished,2,389,Average/Typical,Average/Typical,Paved,0,98,0,0,500,6,2007,Warranty Deed-Conventional,Normal Sale,277000
30,Residential Low-Density,55,5350,Paved,Slightly irregular,Level,All public Utilities,Inside lot,Gentle slope,Brookside,Normal,Normal,Single-family Detached,One story,3,2,1940,1966,Gable,Standard (Composite) Shingle,Wood Siding,Plywood,None,0,Average/Typical,Poor,Cinder Block,Typical (80-89 inches),Typical-slight dampness allowed,No Exposure,Unfinished,0,Unfinished,0,728,728,Gas forced warm air furnace,Excellent,Yes,Standard Circuit Breakers & Romex,1306,0,0,1306,0,0,1,0,3,1,Fair,6,Moderate Deductions,0,No,No,1978,No,0,0,No,No,Paved,263,0,0,0,450,5,2010,Warranty Deed-Conventional,Normal Sale,76500
120,Residential Medium Density,44,4750,Paved,Slightly irregular,Hillside,All public Utilities,Inside lot,Moderate slope,Crawford,Normal,Normal,Townhouse End Unit,One story,8,5,2006,2007,Hip,Standard (Composite) Shingle,Vinyl Siding,Vinyl Siding,Stone,481,Good,Average/Typical,Poured Contrete,Good (90-99 inches),Typical-slight dampness allowed,Good Exposure,Good Living Quarters,1573,Unfinished,0,0,1573,Gas forced warm air furnace,Excellent,Yes,Standard Circuit Breakers & Romex,1625,0,0,1625,1,1,2,0,2,1,Good,5,Typical Functionality,1,Good-Masonry Fireplace on the main level,Attached to the home,2006,Finished,2,538,Average/Typical,Average/Typical,Paved,123,0,0,0,0,12,2007,Warranty Deed-Conventional,Sale between family members,235000
60,Residential Low-Density,65,8366,Paved,Slightly irregular,Level,All public Utilities,Inside lot,Gentle slope,Sawyer West,Normal,Normal,Single-family Detached,Two-story,6,5,2004,2004,Gable,Standard (Composite) Shingle,Vinyl Siding,Vinyl Siding,None,0,Good,Average/Typical,Poured Contrete,Good (90-99 inches),Typical-slight dampness allowed,No Exposure,Unfinished,0,Unfinished,0,798,798,Gas forced warm air furnace,Excellent,Yes,Standard Circuit Breakers & Romex,798,842,0,1640,0,0,2,1,3,1,Good,6,Typical Functionality,0,No,Attached to the home,2004,Rough Finished,2,520,Average/Typical,Average/Typical,Paved,138,45,0,0,0,12,2008,Warranty Deed-Conventional,Normal Sale,173000
80,Residential Low-Density,85,9350,Paved,Regular,Level,All public Utilities,Inside lot,Gentle slope,NAmes,Normal,Normal,Single-family Detached,Split Level,6,7,1964,1991,Hip,Standard (Composite) Shingle,Hard Board,Hard Board,Brick Face,108,Average/Typical,Average/Typical,Cinder Block,Good (90-99 inches),Typical-slight dampness allowed,Good Exposure,Low Quality,270,Average Living Quarters,580,452,1302,Gas forced warm air furnace,Excellent,Yes,Standard Circuit Breakers & Romex,1302,0,0,1302,0,1,2,0,3,1,Good,7,Minor Deductions 1,0,No,Attached to the home,1964,Rough Finished,1,309,Average/Typical,Average/Typical,Paved,333,0,0,0,0,10,2007,Warranty Deed-Cash,Normal Sale,158000
20,Residential Low-Density,70,8400,Paved,Regular,Level,All public Utilities,Inside lot,Gentle slope,NAmes,Normal,Normal,Single-family Detached,One story,5,6,1957,1957,Gable,Standard (Composite) Shingle,Metal Siding,Metal Siding,None,0,Average/Typical,Good,Cinder Block,Typical (80-89 inches),Typical-slight dampness allowed,No Exposure,Average Rec Room,922,Unfinished,0,392,1314,Gas forced warm air furnace,Average/Typical,Yes,Standard Circuit Breakers & Romex,1314,0,0,1314,1,0,1,0,3,1,Average/Typical,5,Typical Functionality,0,No,Attached to the home,1957,Rough Finished,1,294,Average/Typical,Average/Typical,Paved,250,0,0,0,0,6,2010,Warranty Deed-Conventional,Normal Sale,145000
60,Residential Low-Density,66,8738,Paved,Slightly irregular,Level,All public Utilities,Inside lot,Gentle slope,Gilbert,Normal,Normal,Single-family Detached,Two-story,7,5,1999,1999,Gable,Standard (Composite) Shingle,Vinyl Siding,Vinyl Siding,Brick Face,302,Good,Average/Typical,Poured Contrete,Good (90-99 inches),Typical-slight dampness allowed,No Exposure,Unfinished,0,Unfinished,0,975,975,Gas forced warm air furnace,Excellent,Yes,Standard Circuit Breakers & Romex,1005,1286,0,2291,0,0,2,1,4,1,Good,8,Typical Functionality,1,Average-Prefabricated Fireplace in the main living area or Masonry Fireplace in the basement,Built-In (Garage part of the house-typically has room above the garage),1999,Finished,2,429,Average/Typical,Average/Typical,Paved,192,0,0,0,0,2,2006,Warranty Deed-Conventional,Normal Sale,230000
60,Floating Village Residential,64,8791,Paved,Slightly irregular,Level,All public Utilities,Inside lot,Gentle slope,Somerset,Normal,Normal,Single-family Detached,Two-story,6,5,2003,2003,Gable,Standard (Composite) Shingle,Vinyl Siding,Vinyl Siding,None,0,Good,Average/Typical,Poured Contrete,Good (90-99 inches),Typical-slight dampness allowed,No Exposure,Average Rec Room,503,Unfinished,0,361,864,Gas forced warm air furnace,Excellent,Yes,Standard Circuit Breakers & Romex,864,864,0,1728,0,0,2,1,3,1,Good,7,Typical Functionality,0,No,Attached to the home,2003,Rough Finished,2,673,Average/Typical,Average/Typical,Paved,216,56,0,0,0,5,2008,Warranty Deed-Conventional,Normal Sale,207500
20,Residential Low-Density,68,8814,Paved,Regular,Level,All public Utilities,Inside lot,Gentle slope,College Creek,Normal,Normal,Single-family Detached,One story,7,5,2006,2006,Gable,Standard (Composite) Shingle,Vinyl Siding,Vinyl Siding,Stone,180,Good,Average/Typical,Poured Contrete,Good (90-99 inches),Typical-slight dampness allowed,No Exposure,Good Living Quarters,1334,Unfinished,0,270,1604,Gas forced warm air furnace,Excellent,Yes,Standard Circuit Breakers & Romex,1604,0,0,1604,1,0,2,1,3,1,Good,8,Typical Functionality,1,Good-Masonry Fireplace on the main level,Attached to the home,2006,Rough Finished,2,660,Average/Typical,Average/Typical,Paved,123,110,0,0,0,3,2009,Warranty Deed-Conventional,"Abnormal Sale-trade, foreclosure, short sale",220000
60,Residential Low-Density,80,12435,Paved,Regular,Level,All public Utilities,Inside lot,Gentle slope,College Creek,Normal,Normal,Single-family Detached,Two-story,7,5,2001,2001,Gable,Standard (Composite) Shingle,Vinyl Siding,Vinyl Siding,Brick Face,172,Good,Average/Typical,Poured Contrete,Good (90-99 inches),Typical-slight dampness allowed,No Exposure,Good Living Quarters,361,Unfinished,0,602,963,Gas forced warm air furnace,Excellent,Yes,Standard Circuit Breakers & Romex,963,829,0,1792,0,0,2,1,3,1,Good,7,Typical Functionality,1,Average-Prefabricated Fireplace in the main living area or Masonry Fireplace in the basement,Attached to the home,2001,Rough Finished,2,564,Average/Typical,Average/Typical,Paved,0,96,0,0,0,5,2008,Warranty Deed-Conventional,Normal Sale,231500
20,Residential Medium Density,70,12702,Paved,Regular,Level,All public Utilities,Inside lot,Gentle slope,Old Town,Normal,Normal,Single-family Detached,One story,5,5,1956,1956,Gable,Standard (Composite) Shingle,Brick Face,Brick Face,None,0,Average/Typical,Average/Typical,Poured Contrete,No,No,No Exposure,No,0,No,0,0,0,Gas forced warm air furnace,Good,Yes,Fuse Box over 60 AMP and all Romex wiring (Average),882,0,0,882,0,0,1,0,2,1,Average/Typical,4,Typical Functionality,0,No,Detached from home,1956,Unfinished,1,308,Average/Typical,Average/Typical,Paved,0,45,0,0,0,12,2008,Warranty Deed-Conventional,Normal Sale,97000
80,Residential Low-Density,120,19296,Paved,Regular,Level,All public Utilities,Corner lot,Gentle slope,NAmes,Adjacent to arterial street,Normal,Single-family Detached,Split Level,6,5,1962,1962,Gable,Standard (Composite) Shingle,Wood Siding,Wood Siding,Brick Face,399,Average/Typical,Average/Typical,Cinder Block,Typical (80-89 inches),Typical-slight dampness allowed,Good Exposure,Average Rec Room,672,Average Living Quarters,690,0,1362,Gas forced warm air furnace,Average/Typical,Yes,Standard Circuit Breakers & Romex,1382,0,0,1382,1,0,1,0,3,1,Average/Typical,6,Typical Functionality,1,Average-Prefabricated Fireplace in the main living area or Masonry Fireplace in the basement,Attached to the home,1991,Unfinished,2,884,Average/Typical,Average/Typical,Paved,0,0,252,0,0,5,2009,Warranty Deed-Conventional,Normal Sale,176000
60,Residential Low-Density,69,9588,Paved,Slightly irregular,Level,All public Utilities,Inside lot,Gentle slope,College Creek,Normal,Normal,Single-family Detached,Two-story,8,5,2007,2007,Gable,Standard (Composite) Shingle,Cement Board,CmentBd,Stone,270,Good,Average/Typical,Poured Contrete,Excellent (100+ inches),Typical-slight dampness allowed,No Exposure,Unfinished,0,Unfinished,0,1482,1482,Gas forced warm air furnace,Excellent,Yes,Standard Circuit Breakers & Romex,1482,1092,0,2574,0,0,2,1,3,1,Excellent,10,Typical Functionality,1,Good-Masonry Fireplace on the main level,Built-In (Garage part of the house-typically has room above the garage),2007,Finished,3,868,Average/Typical,Average/Typical,Paved,0,148,0,0,0,11,2007,Home just constructed and sold,Home was not completed when last assessed (associated with New Homes),276000
80,Residential Low-Density,88,8471,Paved,Slightly irregular,Level,All public Utilities,Corner lot,Gentle slope,Sawyer,Normal,Normal,Single-family Detached,Split Level,6,7,1977,1995,Gable,Standard (Composite) Shingle,Hard Board,Plywood,Brick Face,46,Average/Typical,Average/Typical,Cinder Block,Good (90-99 inches),Good,Average Exposure,Average Living Quarters,506,Unfinished,0,0,506,Gas forced warm air furnace,Average/Typical,Yes,Standard Circuit Breakers & Romex,1212,0,0,1212,1,0,1,0,3,1,Average/Typical,6,Typical Functionality,1,Average-Prefabricated Fireplace in the main living area or Masonry Fireplace in the basement,Attached to the home,1978,Unfinished,2,492,Average/Typical,Average/Typical,Paved,292,12,0,0,0,7,2006,Warranty Deed-Conventional,Normal Sale,151000
50,Residential Medium Density,50,5500,Paved,Regular,Level,All public Utilities,Corner lot,Gentle slope,Old Town,Normal,Normal,Single-family Detached,One and one-half story: 2nd level finished,5,7,1929,2001,Gable,Standard (Composite) Shingle,Wood Siding,Wood Siding,None,0,Average/Typical,Average/Typical,Brick & Tile,Typical (80-89 inches),Typical-slight dampness allowed,No Exposure,Low Quality,234,Average Living Quarters,692,0,926,Gas forced warm air furnace,Average/Typical,Yes,Standard Circuit Breakers & Romex,926,0,390,1316,1,0,1,0,3,1,Average/Typical,6,Typical Functionality,0,No,Detached from home,1974,Unfinished,2,484,Average/Typical,Average/Typical,Paved,0,0,0,0,0,4,2010,Warranty Deed-Conventional,Normal Sale,130000
30,Residential Medium Density,30,5232,Paved,Irregular,Banked,All public Utilities,Inside lot,Gentle slope,Old Town,Adjacent to arterial street,Normal,Single-family Detached,One story,5,5,1925,2004,Gable,Standard (Composite) Shingle,Wood Siding,Wood Siding,None,0,Average/Typical,Average/Typical,Brick & Tile,Fair (70-79 inches),Typical-slight dampness allowed,No Exposure,Unfinished,0,Unfinished,0,680,680,Gas forced warm air furnace,Good,No,60 AMP Fuse Box and mostly knob & tube wiring (poor),764,0,0,764,0,0,1,0,2,1,Average/Typical,4,Typical Functionality,0,No,Detached from home,1965,Unfinished,2,504,Average/Typical,Average/Typical,Dirt/Gravel,0,0,0,0,0,6,2008,Warranty Deed-Conventional,Normal Sale,73000
20,Residential Low-Density,78,12090,Paved,Slightly irregular,Level,All public Utilities,Inside lot,Gentle slope,Northwest Ames,Normal,Normal,Single-family Detached,One story,6,6,1981,1981,Gable,Standard (Composite) Shingle,Metal Siding,Metal Siding,Brick Face,210,Average/Typical,Good,Cinder Block,Good (90-99 inches),Typical-slight dampness allowed,No Exposure,Good Living Quarters,588,Low Quality,228,606,1422,Gas forced warm air furnace,Average/Typical,Yes,Standard Circuit Breakers & Romex,1422,0,0,1422,0,0,2,0,3,1,Good,7,Typical Functionality,1,Average-Prefabricated Fireplace in the main living area or Masonry Fireplace in the basement,Attached to the home,1981,Finished,2,576,Average/Typical,Average/Typical,Paved,276,0,0,0,0,6,2008,Warranty Deed-Conventional,Normal Sale,175500
60,Residential Low-Density,70,11207,Paved,Slightly irregular,Hillside,All public Utilities,Frontage on 2 sides of the property,Gentle slope,Gilbert,Normal,Normal,Single-family Detached,Two-story,6,5,1997,1997,Gable,Standard (Composite) Shingle,Vinyl Siding,Vinyl Siding,None,0,Average/Typical,Average/Typical,Poured Contrete,Good (90-99 inches),Typical-slight dampness allowed,Average Exposure,Good Living Quarters,714,Unfinished,0,88,802,Gas forced warm air furnace,Good,Yes,Standard Circuit Breakers & Romex,802,709,0,1511,1,0,2,1,3,1,Average/Typical,8,Typical Functionality,1,Average-Prefabricated Fireplace in the main living area or Masonry Fireplace in the basement,Attached to the home,1997,Finished,2,413,Average/Typical,Average/Typical,Paved,95,75,0,0,0,6,2006,Warranty Deed-Conventional,Normal Sale,185000
75,Residential Low-Density,60,8400,Paved,Regular,Banked,All public Utilities,Inside lot,Moderate slope,South & West of Iowa State University,Normal,Normal,Single-family Detached,Two and one-half story: 2nd level finished,5,8,1939,1997,Gable,Standard (Composite) Shingle,Wood Siding,Wood Siding,None,0,Average/Typical,Average/Typical,Poured Contrete,Typical (80-89 inches),Typical-slight dampness allowed,No Exposure,Low Quality,378,Unfinished,0,342,720,Gas forced warm air furnace,Excellent,Yes,Standard Circuit Breakers & Romex,1052,720,420,2192,0,0,2,1,4,1,Good,8,Typical Functionality,1,Good-Masonry Fireplace on the main level,Detached from home,1939,Unfinished,1,240,Average/Typical,Average/Typical,Paved,262,24,0,0,0,7,2008,Warranty Deed-Conventional,Normal Sale,179500
30,Residential Medium Density,71,6900,Paved,Regular,Level,All public Utilities,Inside lot,Gentle slope,Iowa DOT and Rail Road,Normal,Normal,Single-family Detached,One story,5,6,1940,1955,Gable,Standard (Composite) Shingle,Vinyl Siding,Vinyl Siding,None,0,Average/Typical,Average/Typical,Cinder Block,Typical (80-89 inches),Typical-slight dampness allowed,No Exposure,Average Living Quarters,403,Average Rec Room,125,212,740,Gas forced warm air furnace,Excellent,Yes,Standard Circuit Breakers & Romex,778,0,0,778,0,0,1,0,2,1,Average/Typical,4,Typical Functionality,1,Good-Masonry Fireplace on the main level,Detached from home,1966,Finished,1,924,Excellent,Excellent,Paved,0,25,0,0,0,2,2008,Warranty Deed-Conventional,Normal Sale,120500
20,Residential Low-Density,0,7917,Paved,Slightly irregular,Level,All public Utilities,Corner lot,Gentle slope,Edwards,Normal,Normal,Single-family Detached,One story,6,7,1976,1976,Hip,Standard (Composite) Shingle,Hard Board,Hard Board,Brick Face,174,Average/Typical,Good,Cinder Block,Typical (80-89 inches),Good,No Exposure,Below Average Living Quarters,751,Unfinished,0,392,1143,Gas forced warm air furnace,Average/Typical,Yes,Standard Circuit Breakers & Romex,1113,0,0,1113,1,0,1,1,3,1,Average/Typical,6,Typical Functionality,1,Fair-Prefabricated Fireplace in the basement,Attached to the home,1987,Rough Finished,1,504,Average/Typical,Good,Paved,370,30,0,0,0,5,2007,Warranty Deed-Conventional,Normal Sale,148000
60,Floating Village Residential,84,10728,Paved,Regular,Level,All public Utilities,Inside lot,Gentle slope,Somerset,Normal,Normal,Single-family Detached,Two-story,8,5,2006,2006,Gable,Standard (Composite) Shingle,Vinyl Siding,Vinyl Siding,None,0,Good,Average/Typical,Poured Contrete,Good (90-99 inches),Typical-slight dampness allowed,Mimimum Exposure,Unfinished,0,Unfinished,0,1095,1095,Gas forced warm air furnace,Good,Yes,Standard Circuit Breakers & Romex,1095,844,0,1939,0,0,2,1,3,1,Good,8,Typical Functionality,1,Good-Masonry Fireplace on the main level,Attached to the home,2006,Rough Finished,3,1053,Average/Typical,Average/Typical,Paved,192,51,0,0,0,8,2006,Home just constructed and sold,Home was not completed when last assessed (associated with New Homes),266000
20,Residential Low-Density,73,39104,Paved,Slightly irregular,Low Depression,All public Utilities,Cul-de-sac,Severe Slope,Clear Creek,Normal,Normal,Single-family Detached,One story,7,7,1954,2005,Flat,Membrane,Plywood,Plywood,None,0,Average/Typical,Average/Typical,Cinder Block,Good (90-99 inches),Typical-slight dampness allowed,Good Exposure,Low Quality,226,Good Living Quarters,1063,96,1385,Gas forced warm air furnace,Excellent,Yes,Standard Circuit Breakers & Romex,1363,0,0,1363,1,0,1,0,2,1,Average/Typical,5,Moderate Deductions,2,Average-Prefabricated Fireplace in the main living area or Masonry Fireplace in the basement,Attached to the home,1954,Unfinished,2,439,Average/Typical,Average/Typical,Paved,81,0,0,0,0,4,2008,Warranty Deed-Conventional,Normal Sale,241500
60,Residential Low-Density,92,11764,Paved,Slightly irregular,Level,All public Utilities,Cul-de-sac,Gentle slope,Northridge,Normal,Normal,Single-family Detached,Two-story,8,7,1999,2007,Gable,Standard (Composite) Shingle,Vinyl Siding,Vinyl Siding,Brick Face,348,Good,Average/Typical,Poured Contrete,Good (90-99 inches),Typical-slight dampness allowed,No Exposure,Good Living Quarters,524,Unfinished,0,628,1152,Gas forced warm air furnace,Excellent,Yes,Standard Circuit Breakers & Romex,1164,1106,0,2270,0,0,2,1,4,1,Good,9,Typical Functionality,1,Good-Masonry Fireplace on the main level,Attached to the home,1999,Finished,3,671,Average/Typical,Average/Typical,Paved,132,57,0,0,0,4,2010,Warranty Deed-Conventional,Normal Sale,290000
20,Residential Low-Density,80,9600,Paved,Regular,Level,All public Utilities,Inside lot,Gentle slope,NAmes,Adjacent to feeder street,Normal,Single-family Detached,One story,6,6,1958,1988,Hip,Standard (Composite) Shingle,Wood Siding,Wood Siding,Brick Common,183,Average/Typical,Average/Typical,Cinder Block,Typical (80-89 inches),Typical-slight dampness allowed,No Exposure,Average Rec Room,620,Low Quality,620,0,1240,Gas forced warm air furnace,Good,Yes,Standard Circuit Breakers & Romex,1632,0,0,1632,1,0,2,0,3,1,Average/Typical,6,Minor Deductions 1,1,Good-Masonry Fireplace on the main level,Attached to the home,1958,Rough Finished,1,338,Average/Typical,Average/Typical,Paved,289,0,0,0,0,4,2009,Warranty Deed-Conventional,Normal Sale,139000
20,Residential Low-Density,76,8314,Paved,Regular,Level,All public Utilities,Corner lot,Gentle slope,Mitchell,Normal,Normal,Single-family Detached,One story,5,7,1982,1982,Gable,Standard (Composite) Shingle,Hard Board,Imitation Stucco,None,0,Average/Typical,Average/Typical,Cinder Block,Typical (80-89 inches),Typical-slight dampness allowed,Good Exposure,Average Living Quarters,546,Unfinished,0,270,816,Gas forced warm air furnace,Average/Typical,Yes,Standard Circuit Breakers & Romex,816,0,0,816,0,0,1,0,2,1,Average/Typical,5,Typical Functionality,0,No,Attached to the home,1982,Unfinished,1,264,Average/Typical,Average/Typical,Paved,168,0,0,0,0,6,2007,Warranty Deed-Conventional,Normal Sale,124500
50,Residential Low-Density,55,7264,Paved,Regular,Level,All public Utilities,Inside lot,Gentle slope,Brookside,Normal,Normal,Single-family Detached,One and one-half story: 2nd level finished,7,7,1925,2007,Gable,Standard (Composite) Shingle,Wood Siding,Wood Siding,None,0,Good,Good,Brick & Tile,Typical (80-89 inches),Typical-slight dampness allowed,No Exposure,Unfinished,0,Unfinished,0,952,952,Gas hot water or steam heat,Good,No,Standard Circuit Breakers & Romex,952,596,0,1548,0,0,2,1,3,1,Excellent,5,Typical Functionality,0,No,Detached from home,1978,Unfinished,2,672,Average/Typical,Average/Typical,Paved,74,0,0,0,0,10,2009,Warranty Deed-Conventional,Normal Sale,205000
20,Residential Low-Density,129,9196,Paved,Slightly irregular,Level,All public Utilities,Inside lot,Gentle slope,Mitchell,Normal,Normal,Single-family Detached,One story,7,5,2003,2003,Gable,Standard (Composite) Shingle,Vinyl Siding,Vinyl Siding,None,0,Good,Average/Typical,Poured Contrete,Excellent (100+ inches),Typical-slight dampness allowed,No Exposure,Unfinished,0,Unfinished,0,1560,1560,Gas forced warm air furnace,Excellent,Yes,Standard Circuit Breakers & Romex,1560,0,0,1560,0,0,2,0,3,1,Good,7,Typical Functionality,0,No,Attached to the home,2003,Finished,2,573,Average/Typical,Average/Typical,Paved,100,150,0,0,0,4,2010,Warranty Deed-Conventional,Normal Sale,201000
20,Residential Low-Density,140,19138,Paved,Regular,Level,All public Utilities,Corner lot,Gentle slope,Gilbert,Normal,Normal,Single-family Detached,One story,4,5,1951,1951,Gable,Standard (Composite) Shingle,Vinyl Siding,Vinyl Siding,None,0,Average/Typical,Average/Typical,Cinder Block,Typical (80-89 inches),Typical-slight dampness allowed,No Exposure,Low Quality,120,Unfinished,0,744,864,Gas forced warm air furnace,Excellent,Yes,Standard Circuit Breakers & Romex,864,0,0,864,0,0,1,0,2,1,Average/Typical,4,Typical Functionality,0,No,Detached from home,1951,Unfinished,2,400,Average/Typical,Average/Typical,Paved,0,0,0,0,0,6,2010,Warranty Deed-Conventional,Normal Sale,141000
20,Residential Low-Density,107,14450,Paved,Regular,Level,All public Utilities,Inside lot,Gentle slope,Northridge Heights,Normal,Normal,Single-family Detached,One story,9,5,2006,2007,Gable,Standard (Composite) Shingle,Cement Board,CmentBd,Brick Face,315,Excellent,Average/Typical,Poured Contrete,Excellent (100+ inches),Typical-slight dampness allowed,Good Exposure,Unfinished,0,Unfinished,0,2121,2121,Gas forced warm air furnace,Excellent,Yes,Standard Circuit Breakers & Romex,2121,0,0,2121,0,0,2,1,3,1,Excellent,8,Typical Functionality,1,Excellent-Exceptional Masonry Fireplace,Attached to the home,2007,Finished,3,732,Average/Typical,Average/Typical,Paved,124,98,0,0,0,5,2007,Home just constructed and sold,Home was not completed when last assessed (associated with New Homes),415298
60,Residential Low-Density,83,10005,Paved,Regular,Level,All public Utilities,Inside lot,Gentle slope,Clear Creek,Normal,Normal,Single-family Detached,Two-story,7,5,1977,1977,Hip,Standard (Composite) Shingle,Plywood,Plywood,Brick Face,299,Average/Typical,Average/Typical,Cinder Block,Good (90-99 inches),Typical-slight dampness allowed,No Exposure,Below Average Living Quarters,392,Unfinished,0,768,1160,Gas forced warm air furnace,Excellent,Yes,Standard Circuit Breakers & Romex,1156,866,0,2022,0,0,2,1,4,1,Average/Typical,8,Typical Functionality,1,Average-Prefabricated Fireplace in the main living area or Masonry Fireplace in the basement,Attached to the home,1977,Finished,2,505,Average/Typical,Average/Typical,Paved,288,117,0,0,0,3,2008,Warranty Deed-Conventional,Normal Sale,192000
60,Residential Low-Density,82,11287,Paved,Regular,Level,All public Utilities,Inside lot,Gentle slope,Sawyer West,Normal,Normal,Single-family Detached,Two-story,7,6,1989,1989,Gable,Standard (Composite) Shingle,Plywood,Plywood,Brick Face,340,Good,Average/Typical,Cinder Block,Good (90-99 inches),Typical-slight dampness allowed,Average Exposure,Good Living Quarters,421,Unfinished,0,386,807,Gas forced warm air furnace,Good,Yes,Standard Circuit Breakers & Romex,1175,807,0,1982,0,0,2,1,3,1,Good,7,Typical Functionality,1,Average-Prefabricated Fireplace in the main living area or Masonry Fireplace in the basement,Attached to the home,1989,Finished,2,575,Average/Typical,Average/Typical,Paved,0,84,0,0,0,1,2007,Warranty Deed-Conventional,Normal Sale,228500
20,Floating Village Residential,60,7200,Paved,Regular,Level,All public Utilities,Inside lot,Gentle slope,Somerset,Normal,Normal,Single-family Detached,One story,6,5,2006,2006,Gable,Standard (Composite) Shingle,Vinyl Siding,Vinyl Siding,Stone,68,Good,Average/Typical,Poured Contrete,Good (90-99 inches),Typical-slight dampness allowed,No Exposure,Good Living Quarters,905,Unfinished,0,357,1262,Gas forced warm air furnace,Good,Yes,Standard Circuit Breakers & Romex,1262,0,0,1262,0,0,2,0,2,1,Good,5,Typical Functionality,0,No,Attached to the home,2006,Finished,2,572,Average/Typical,Average/Typical,Paved,0,120,0,0,0,5,2006,Home just constructed and sold,Home was not completed when last assessed (associated with New Homes),185000
120,Residential Low-Density,34,5063,Paved,Regular,Level,All public Utilities,Inside lot,Gentle slope,Northridge Heights,Normal,Normal,Twnhs,One story,7,5,2007,2008,Gable,Standard (Composite) Shingle,Vinyl Siding,Vinyl Siding,Stone,166,Good,Average/Typical,Poured Contrete,Good (90-99 inches),Typical-slight dampness allowed,No Exposure,Good Living Quarters,904,Unfinished,0,410,1314,Gas forced warm air furnace,Excellent,Yes,Standard Circuit Breakers & Romex,1314,0,0,1314,1,0,2,0,2,1,Good,6,Typical Functionality,1,Good-Masonry Fireplace on the main level,Attached to the home,2008,Rough Finished,2,626,Average/Typical,Average/Typical,Paved,172,62,0,0,0,4,2009,Contract Low Down payment and low interest,Normal Sale,207500
